City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,butte,39.6499,-121.5677,28.54,38,0,3.96,US,1684890778
1,constantia,44.1833,28.65,12.61,84,77,3.09,RO,1684891201
2,gaoping,30.7758,106.1029,20.59,71,0,2.07,CN,1684891310
3,anadyr,64.75,177.4833,6.28,61,40,4.0,RU,1684891310
4,naze,28.3667,129.4833,23.51,63,14,6.26,JP,1684891310
5,namibe,-15.1961,12.1522,21.37,72,4,2.51,AO,1684891310
6,ushuaia,-54.8,-68.3,3.81,93,100,9.77,AR,1684891253
7,colonia menno,-22.3667,-59.8167,25.31,52,14,4.39,PY,1684891310
8,kingscliff,-28.2667,153.5667,22.63,52,0,2.57,AU,1684891310
9,kushtia,23.9011,89.1221,26.22,63,17,1.01,BD,1684891310
10,zemio,5.0314,25.1361,20.13,96,88,0.34,CF,1684891310
11,dudinka,69.4058,86.1778,0.9,91,88,3.6,RU,1684891310
12,howrah,22.5892,88.3103,25.0,88,75,2.57,IN,1684891310
13,utrik,11.2278,169.8474,28.01,78,100,7.7,MH,1684891310
14,badovinci,44.7858,19.3714,15.48,82,83,1.57,RS,1684891310
15,zalari,53.5584,102.5065,10.62,71,100,5.98,RU,1684891310
16,ingeniero jacobacci,-41.3427,-69.5448,4.37,61,40,5.54,AR,1684891310
17,cozumel,20.5083,-86.9458,29.41,78,75,2.68,MX,1684891046
18,jamestown,42.097,-79.2353,18.8,69,0,0.45,US,1684891230
19,puerto natales,-51.7236,-72.4875,-0.81,94,100,1.58,CL,1684891299
20,edinburgh of the seven seas,-37.0676,-12.3116,13.11,66,100,11.5,SH,1684891200
21,songyang,34.4553,113.0281,18.06,62,2,3.02,CN,1684891311
22,mabaruma,8.2,-59.7833,23.84,97,20,1.43,GY,1684891311
23,puerto ayora,-0.7393,-90.3518,25.86,92,100,1.79,EC,1684891311
24,minas de marcona,-15.2119,-75.1103,14.68,85,34,4.74,PE,1684891311
25,adamstown,-25.066,-130.1015,24.78,89,98,12.96,PN,1684891156
26,sumbawa besar,-8.5,117.4333,27.84,64,0,1.65,ID,1684891186
27,la maddalena,41.2142,9.4083,15.09,83,0,3.58,IT,1684891311
28,nuuk,64.1835,-51.7216,-0.66,74,100,10.8,GL,1684891071
29,hawaiian paradise park,19.5933,-154.9731,27.63,72,75,3.09,US,1684891087
30,college,64.8569,-147.8028,20.18,29,40,1.54,US,1684891201
31,wailua homesteads,22.0669,-159.378,28.24,79,100,6.69,US,1684891311
32,longyearbyen,78.2186,15.6401,1.91,69,40,5.14,SJ,1684891311
33,kodiak,57.79,-152.4072,6.73,93,100,7.72,US,1684891280
34,thompson,55.7435,-97.8558,12.09,40,75,2.06,CA,1684891311
35,trairi,-3.2778,-39.2689,24.74,91,7,2.72,BR,1684891311
36,udachny,66.4167,112.4,5.25,60,85,5.79,RU,1684891291
37,bardai,11.65,7.2333,27.51,60,21,4.04,NG,1684891312
38,tromso,69.6496,18.957,6.01,87,75,1.03,NO,1684891312
39,west island,-12.1568,96.8225,28.99,74,10,2.06,CC,1684891210
40,egilsstadir,65.2653,-14.3948,5.95,52,75,13.38,IS,1684891312
41,kargasok,59.0556,80.8572,9.05,50,41,4.92,RU,1684891312
42,isafjordur,66.0755,-23.124,2.7,93,100,8.69,IS,1684891312
43,penzance,50.1186,-5.5371,12.09,81,64,5.32,GB,1684891312
44,albany,42.6001,-73.9662,19.36,61,17,0.45,US,1684890909
45,nizhnesortymskiy,62.4397,71.7603,10.37,46,8,5.65,RU,1684891312
46,whitehorse,60.7161,-135.0538,18.43,23,75,3.6,CA,1684891312
47,iskateley,67.6803,53.1512,14.06,64,30,3.38,RU,1684891312
48,takab,36.4009,47.1133,14.05,44,100,0.34,IR,1684891312
49,ruidoso,33.3317,-105.673,24.59,19,0,6.69,US,1684891312
50,mae hong son,19.3003,97.9685,29.08,65,20,1.03,TH,1684891312
51,covington,39.0837,-84.5086,24.08,62,40,3.09,US,1684891312
52,polyarnyy,69.1989,33.4478,8.47,84,95,1.07,RU,1684891312
53,saipan,15.1355,145.701,28.69,100,75,12.86,MP,1684891312
54,waitangi,-43.9535,-176.5597,13.79,86,48,2.68,NZ,1684891157
55,port-aux-francais,-49.35,70.2167,7.64,97,99,11.34,TF,1684891160
56,iqaluit,63.7506,-68.5145,-7.15,73,75,6.17,CA,1684891220
57,tobruk,32.0836,23.9764,18.43,85,73,1.97,LY,1684891313
58,concordia,-31.393,-58.0209,22.66,88,100,8.05,AR,1684891199
59,nishinoomote,30.7333,131.0,23.31,35,20,4.12,JP,1684891313
60,grytviken,-54.2811,-36.5092,1.73,86,17,5.66,GS,1684891276
61,saudarkrokur,65.7461,-19.6394,2.99,95,100,13.7,IS,1684891313
62,hilo,19.7297,-155.09,26.85,71,75,3.09,US,1684891313
63,kavaratti,10.5669,72.642,29.0,71,30,1.18,IN,1684891313
64,tambopata,-12.7333,-69.1833,22.64,98,89,0.3,PE,1684891313
65,champerico,14.3,-91.9167,29.39,70,41,1.69,GT,1684891313
66,holualoa,19.6228,-155.9522,24.91,79,100,3.6,US,1684891313
67,tiksi,71.6872,128.8694,-4.04,81,18,1.64,RU,1684891313
68,punta arenas,-53.15,-70.9167,0.06,93,0,5.14,CL,1684891313
69,shingu,33.7333,135.9833,20.38,40,0,0.99,JP,1684891313
70,sao felix do xingu,-6.6447,-51.995,24.18,85,100,1.54,BR,1684891231
71,nar'yan-mar,67.6713,53.087,14.13,63,20,3.39,RU,1684891314
72,kapa'a,22.0752,-159.319,28.99,79,100,6.69,US,1684891314
73,cururupu,-1.8283,-44.8683,24.24,95,100,1.57,BR,1684891314
74,vega de alatorre,20.0333,-96.6333,26.27,78,19,2.57,MX,1684891314
75,port elizabeth,-33.918,25.5701,11.29,75,0,2.57,ZA,1684891314
76,mount gambier,-37.8333,140.7667,14.59,66,8,5.05,AU,1684891314
77,tazovsky,67.4667,78.7,1.09,82,100,2.71,RU,1684891314
78,ust-nera,64.5667,143.2,2.83,97,100,3.22,RU,1684891314
79,bacalar,18.6667,-88.3833,30.06,66,40,3.6,MX,1684891314
80,bredasdorp,-34.5322,20.0403,11.86,92,100,1.47,ZA,1684891314
81,quellon,-43.1167,-73.6167,10.14,87,100,12.35,CL,1684891314
82,blackmans bay,-43.0167,147.3167,17.07,62,100,3.29,AU,1684891314
83,tralee,52.2704,-9.7026,8.92,95,82,0.97,IE,1684891314
84,humberto de campos,-2.5983,-43.4611,24.47,92,94,1.93,BR,1684891314
85,luis correia,-2.8792,-41.6669,25.97,89,13,3.66,BR,1684891314
86,invercargill,-46.4,168.35,10.62,61,45,3.76,NZ,1684891314
87,nova vicosa,-17.8919,-39.3719,23.13,86,99,4.87,BR,1684891315
88,george town,5.4112,100.3354,29.97,71,20,2.06,MY,1684891101
89,olyokminsk,60.3736,120.4264,12.94,36,99,1.18,RU,1684891315
90,olonkinbyen,70.9221,-8.7187,0.32,98,100,12.19,SJ,1684891315
91,codrington,-38.2667,141.9667,14.55,63,7,7.95,AU,1684891315
92,yellowknife,62.456,-114.3525,17.29,27,75,6.17,CA,1684891259
93,papatowai,-46.5619,169.4708,10.76,60,54,4.15,NZ,1684891315
94,tamanrasset,22.785,5.5228,20.95,24,0,1.54,DZ,1684891315
95,istgah-e rah ahan-e garmsar,35.2346,52.3094,25.08,26,0,3.3,IR,1684891315
96,mindelo,16.8901,-24.9804,22.75,73,40,7.72,CV,1684891315
97,ambovombe,-25.1667,46.0833,16.47,73,36,1.0,MG,1684891315
98,port lincoln,-34.7333,135.8667,16.66,53,100,8.82,AU,1684891315
99,ilulissat,69.2167,-51.1,-3.99,80,100,5.14,GL,1684891189
100,dolinsk,47.35,142.8,14.36,53,2,4.32,RU,1684891315
101,aykhal,66.0,111.5,1.04,79,87,6.49,RU,1684891315
102,castlegar,49.2998,-117.6689,19.99,65,99,1.14,CA,1684891316
103,tsengel,49.4783,100.8894,9.49,55,14,3.11,MN,1684891282
104,pitimbu,-7.4706,-34.8086,25.33,85,34,5.47,BR,1684891316
105,lihue,21.9789,-159.3672,28.58,79,100,6.69,US,1684891316
106,klyuchi,52.2667,79.1667,14.75,42,0,3.9,RU,1684891247
107,taulaga,-11.0553,-171.0883,27.84,68,96,3.03,AS,1684891316
108,newman,37.3138,-121.0208,25.99,37,0,5.81,US,1684891316
109,deltebre,40.7499,0.7868,17.41,78,31,2.28,ES,1684891316
110,bethel,41.3712,-73.414,14.05,69,0,1.54,US,1684891189
111,pindiga,9.9833,10.9333,28.89,57,100,2.23,NG,1684891316
112,colonia,50.9333,6.95,8.86,78,0,1.54,DE,1684891316
113,margaret river,-33.95,115.0667,14.43,63,98,7.02,AU,1684891229
114,weno,7.4515,151.8468,31.97,79,100,2.06,FM,1684891316
115,hithadhoo,-0.6,73.0833,27.93,74,8,2.66,MV,1684891316
116,yeniseysk,58.4497,92.1703,5.01,57,92,5.98,RU,1684891316
117,gryazi,52.4966,39.9359,14.23,94,26,0.43,RU,1684891317
118,mahina,-17.5065,-149.489,28.75,69,40,6.69,PF,1684891317
119,hadibu,12.65,54.0333,28.95,72,24,2.17,YE,1684891317
120,cabo san lucas,22.8909,-109.9124,33.17,14,40,5.14,MX,1684891266
121,graaff-reinet,-32.2522,24.5308,13.53,33,13,3.33,ZA,1684891317
122,tidjikja,18.5564,-11.4271,29.09,22,83,4.15,MR,1684891317
123,labrador city,52.9463,-66.9114,7.95,81,100,7.72,CA,1684891211
124,arroyito,-31.4202,-63.05,21.17,91,100,2.94,AR,1684891317
125,swift current,50.2834,-107.8014,23.45,40,0,3.09,CA,1684891317
126,pandan,14.0453,124.1694,30.76,66,5,0.72,PH,1684891317
127,labuan,5.2767,115.2417,29.2,79,20,1.54,MY,1684891317
128,nadi,-17.8,177.4167,28.0,69,75,5.14,FJ,1684891317
129,shakawe,-18.3667,21.85,16.36,31,0,1.53,BW,1684891317
130,sinabang,2.4803,96.3801,26.61,84,100,1.71,ID,1684891317
131,kingston,17.997,-76.7936,27.53,84,40,1.54,JM,1684891317
132,ugento,39.9263,18.1574,15.26,77,7,0.89,IT,1684891317
133,chateau-du-loir,47.6949,0.4185,10.99,84,100,5.66,FR,1684891317
134,ta`u,-14.2336,-169.5144,27.22,81,55,4.53,AS,1684891318
135,las tablas,7.7667,-80.2833,26.21,99,96,0.91,PA,1684891318
136,valparaiso,-33.0393,-71.6273,16.67,65,0,1.54,CL,1684891318
137,ribeira grande,38.5167,-28.7,17.1,82,88,6.71,PT,1684891318
138,nurota,40.5614,65.6886,19.4,36,0,3.89,UZ,1684891318
139,hamilton,39.1834,-84.5333,24.05,60,40,3.09,US,1684891162
140,itororo,-15.1169,-40.0703,19.11,96,90,1.13,BR,1684891318
141,dongkan,33.9997,119.8308,18.84,48,100,4.61,CN,1684891318
142,atafu village,-8.5421,-172.5159,28.29,73,85,2.99,TK,1684891318
143,rotonda west,26.8837,-82.2901,27.77,82,100,5.66,US,1684891318
144,geneina,13.45,22.45,29.19,22,76,2.16,SD,1684891318
145,phagwara,31.2178,75.7694,32.85,36,100,0.25,IN,1684890771
146,gorontalo,0.5412,123.0595,29.6,68,100,1.56,ID,1684891318
147,rosarito,32.3333,-117.0333,16.93,75,27,3.35,MX,1684891319
148,waiuku,-37.25,174.75,19.03,74,0,3.5,NZ,1684891319
149,flying fish cove,-10.4217,105.6791,26.82,78,75,4.12,CX,1684891319
150,afaahiti,-17.75,-149.2833,27.81,80,80,5.33,PF,1684891319
151,forster,-32.1667,152.5167,19.1,54,82,1.16,AU,1684891319
152,bilibino,68.0546,166.4372,9.79,44,99,1.83,RU,1684891183
153,fale old settlement,-9.3852,-171.2468,28.2,72,93,2.95,TK,1684891319
154,stanley,54.868,-1.6985,9.94,83,0,4.63,GB,1684891319
155,aldan,58.6031,125.3894,7.43,51,90,2.65,RU,1684891319
156,birendranagar,28.6019,81.6339,26.06,46,98,1.02,NP,1684891319
157,craig,40.5153,-107.5464,21.97,28,0,1.54,US,1684891319
158,timaru,-44.4,171.25,12.26,68,21,2.24,NZ,1684891319
159,sarkad,46.75,21.3833,16.31,86,100,1.7,HU,1684891319
160,solnechnyy,50.7214,136.6319,21.4,40,98,5.29,RU,1684891319
161,okha,53.5739,142.9478,3.12,81,100,6.94,RU,1684891319
162,batang,-6.4846,110.7083,27.81,69,45,1.92,ID,1684891320
163,pointe-noire,-4.7761,11.8635,24.91,93,17,2.04,CG,1684891320
164,tura,25.5198,90.2201,23.58,88,95,1.6,IN,1684891320
165,bridgewater,44.3835,-64.5155,6.82,87,0,3.09,CA,1684891320
166,ancud,-41.8697,-73.8203,10.05,85,100,13.82,CL,1684891320
167,taksimo,56.3444,114.8794,11.69,38,39,1.01,RU,1684891320
168,dawson creek,55.7666,-120.2362,6.8,87,100,3.6,CA,1684891320
169,kidal,18.4411,1.4078,33.21,16,91,5.52,ML,1684891320
170,qaqortoq,60.7167,-46.0333,-0.45,78,100,1.0,GL,1684891320
171,callao,-12.0667,-77.15,23.73,73,100,7.2,PE,1684891254
172,kununurra,-15.7667,128.7333,24.99,25,2,3.6,AU,1684891320
173,jardim,-21.4803,-56.1381,21.09,66,0,2.3,BR,1684891320
174,peace river,56.2501,-117.286,9.17,100,100,5.14,CA,1684891320
175,zarghun shahr,32.8473,68.4457,14.61,57,11,2.24,AF,1684891321
176,nova sintra,14.8667,-24.7167,20.38,81,69,6.26,CV,1684891321
177,taikang,46.8333,124.4167,26.25,18,10,8.5,CN,1684891321
178,xiuyan,40.2928,123.2744,20.18,51,100,3.67,CN,1684891321
179,luderitz,-26.6481,15.1594,13.71,67,10,1.42,NA,1684891321
180,miyazu,35.5333,135.1833,16.11,56,9,5.38,JP,1684891321
181,sanya,18.2431,109.505,32.09,66,0,1.0,CN,1684891321
182,nyurba,63.2842,118.3319,11.33,36,100,2.61,RU,1684891321
183,kone,-21.0595,164.8658,25.46,45,25,4.07,NC,1684891321
184,bairnsdale,-37.8333,147.6167,15.03,64,0,0.45,AU,1684891321
185,lutjenburg,54.2919,10.5895,9.9,82,100,2.68,DE,1684891321
186,natal,-5.795,-35.2094,26.12,94,40,2.06,BR,1684891082
187,boa vista,2.8197,-60.6733,26.99,83,20,1.03,BR,1684891321
188,acajutla,13.5928,-89.8275,28.94,73,88,1.76,SV,1684891322
189,popondetta,-8.7537,148.2534,27.92,69,100,1.61,PG,1684891322
190,lebu,-37.6167,-73.65,12.43,76,37,9.93,CL,1684891214
191,port augusta,-32.5,137.7667,17.62,41,48,6.78,AU,1684891322
192,altai,46.3722,96.2583,4.33,65,77,5.73,MN,1684891322
193,versailles,48.8,2.1333,9.97,76,0,5.14,FR,1684891322
194,wuyang,31.9925,116.2472,13.57,87,100,5.93,CN,1684891322
195,haiku-pauwela,20.9219,-156.3051,29.01,56,20,12.35,US,1684891322
196,kozhikode,11.25,75.7667,25.65,87,79,1.62,IN,1684891322
197,fiambala,-27.6871,-67.6149,21.11,17,0,0.42,AR,1684891322
198,enid,36.3956,-97.8784,20.57,80,75,3.6,US,1684891322
199,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,46,75,3.0,RU,1684891323
200,macau,22.2006,113.5461,25.48,88,40,8.75,MO,1684891323
201,enewetak,11.3474,162.3373,28.49,70,100,6.39,MH,1684891323
202,dunedin,-45.8742,170.5036,13.78,51,17,2.68,NZ,1684891323
203,gejiu,23.306,103.1635,19.66,62,0,2.41,CN,1684891323
204,palmer,42.1584,-72.3287,16.01,65,75,3.6,US,1684891323
205,akureyri,65.6835,-18.0878,4.96,65,100,8.23,IS,1684891323
206,novopskov,49.5464,39.0899,13.73,94,31,1.35,UA,1684891323
207,fortuna,40.5982,-124.1573,14.19,79,100,9.26,US,1684891323
208,uturoa,-16.7333,-151.4333,26.89,78,69,5.29,PF,1684891323
209,tolanaro,-25.0319,46.9987,16.04,94,20,2.06,MG,1684891323
210,kanniyakumari,8.0833,77.5667,27.99,79,0,4.94,IN,1684891324
211,roma,43.2128,-75.4557,17.57,69,0,2.06,US,1684891321
212,lazaro cardenas,17.9583,-102.2,28.53,69,0,3.65,MX,1684891324
213,san blas,21.5167,-105.2667,33.94,60,100,2.07,MX,1684891099
214,al burayqah,30.4062,19.5739,19.55,67,69,4.03,LY,1684891324
215,nemuro,43.3236,145.575,4.82,84,100,7.76,JP,1684891324
216,lompoc,34.6391,-120.4579,15.34,79,100,5.36,US,1684891324
217,amurzet,47.6967,131.0981,22.38,35,100,7.74,RU,1684891324
218,georgetown,5.4112,100.3354,29.97,71,20,2.06,MY,1684891129
219,mari-turek,56.7895,49.6235,14.1,67,45,2.75,RU,1684891324
220,semera,11.501,41.201,27.61,62,5,4.12,ET,1684891324
221,rongelap,11.1635,166.8941,28.38,72,100,6.94,MH,1684891324
222,farafangana,-22.8167,47.8333,19.37,83,76,2.89,MG,1684891324
223,sidon,33.5631,35.3689,22.95,49,0,3.58,LB,1684891325
224,burley,42.5357,-113.7928,14.55,88,75,4.12,US,1684891325
225,manado,1.487,124.8455,31.43,62,20,3.09,ID,1684891325
226,mbandaka,0.0487,18.2603,21.54,94,15,0.77,CD,1684891325
227,asyqata,40.8994,68.3611,19.17,53,6,2.21,KZ,1684891325
228,singaraja,-8.112,115.0882,27.65,65,6,0.41,ID,1684891325
229,cananeia,-25.0147,-47.9267,19.13,90,0,0.63,BR,1684891325
230,garissa,-0.4536,39.6401,23.78,86,19,5.92,KE,1684891325
231,ardakan,32.31,54.0175,25.62,20,83,3.6,IR,1684891325
232,saint-joseph,-21.3667,55.6167,22.48,82,98,1.75,RE,1684891325
233,gisborne,-38.6533,178.0042,14.73,82,68,5.84,NZ,1684891325
234,happy valley-goose bay,53.3168,-60.3315,12.17,40,75,6.69,CA,1684891326
235,jabor,5.921,169.6434,28.33,75,24,4.64,MH,1684891326
236,xiaoshi,41.2971,124.1209,21.31,33,100,3.94,CN,1684891326
237,saint-philippe,-21.3585,55.7679,21.77,81,100,2.31,RE,1684891326
238,port mathurin,-19.6833,63.4167,25.02,60,0,5.39,MU,1684891326
239,san antonio de pale,-1.4014,5.6325,26.3,80,11,3.18,GQ,1684891326
240,zaragoza,41.6561,-0.8773,16.12,76,40,4.12,ES,1684891326
241,shahr-e babak,30.1165,55.1186,19.98,31,92,1.46,IR,1684891326
242,laojunmiao,39.8333,97.7333,10.87,42,100,6.21,CN,1684891326
243,mhamid,29.82,-5.72,22.63,22,0,2.76,MA,1684891326
244,kot mumin,32.1895,73.028,28.15,44,85,2.42,PK,1684891326
245,keflavik,64.0049,-22.5624,5.95,65,75,18.01,IS,1684891326
246,borodino,55.9106,94.8983,7.76,60,7,7.4,RU,1684891326
247,port saint john's,-31.6229,29.5448,15.98,61,16,2.83,ZA,1684891327
248,mhangura,-16.8939,30.1683,13.65,86,0,1.32,ZW,1684891327
249,sechura,-5.5569,-80.8222,25.81,67,100,7.77,PE,1684891327
250,luang namtha,20.9497,101.4011,23.01,88,20,1.03,LA,1684891327
251,russkaya polyana,49.417,31.9201,13.16,90,86,1.36,UA,1684891327
252,geraldton,-28.7667,114.6,18.23,88,100,3.6,AU,1684891184
253,timiryazevskoye,56.49,84.8769,11.16,49,100,4.7,RU,1684891327
254,st. john's,47.5649,-52.7093,2.76,94,75,5.66,CA,1684891198
255,tefe,-3.3542,-64.7114,24.19,97,96,1.22,BR,1684891327
256,castillos,-34.1667,-53.8333,20.05,78,100,3.33,UY,1684891327
257,crane,31.3974,-102.3501,26.63,37,53,9.75,US,1684891327
258,al jawf,29.5,38.75,23.01,40,93,1.71,SA,1684891327
259,masuguru,-11.3667,38.4167,21.94,84,94,1.66,TZ,1684891328
260,kruisfontein,-34.0033,24.7314,11.23,62,20,1.47,ZA,1684891328
261,vanimo,-2.6741,141.3028,28.7,74,100,1.5,PG,1684891328
262,amga,60.8953,131.9608,10.94,36,82,1.08,RU,1684891328
263,buka,40.8108,69.1986,18.67,53,3,1.48,UZ,1684891328
264,cody,44.5263,-109.0565,20.23,62,75,4.92,US,1684891328
265,suifenhe,44.4,131.1667,21.65,29,2,3.13,CN,1684891328
266,aasiaat,68.7098,-52.8699,-2.51,94,100,7.2,GL,1684891328
267,tongchuanshi,35.0806,109.0897,15.31,60,0,2.11,CN,1684891328
268,wainwright,52.839,-110.8572,21.15,29,91,5.73,CA,1684891079
269,sao jose da coroa grande,-8.8978,-35.1478,25.6,85,24,4.76,BR,1684891328
270,kokuy,52.2037,117.5529,15.23,41,2,6.58,RU,1684891328
271,nuku'alofa,-21.1333,-175.2,24.19,78,75,4.12,TO,1684891328
272,penukonda,14.0833,77.5833,27.13,56,31,4.58,IN,1684891329
273,alaghsas,17.0187,8.0168,32.97,15,85,3.34,NE,1684891329
274,ad darb,17.7229,42.2526,30.7,40,16,2.06,SA,1684891329
275,xai-xai,-25.0519,33.6442,17.1,92,100,3.39,MZ,1684891329
276,ngambe,4.2333,10.6167,20.8,99,59,0.36,CM,1684891329
277,ulsteinvik,62.3432,5.8487,12.07,68,100,7.6,NO,1684891329
278,mirny,62.5353,113.9611,10.69,32,100,1.79,RU,1684891329
279,saldanha,-33.0117,17.9442,8.03,83,100,3.1,ZA,1684891329
280,san juan nepomuceno,9.9516,-75.082,23.9,92,83,1.26,CO,1684891329
281,carnarvon,-24.8667,113.6333,21.18,61,100,2.49,AU,1684891329
282,hermanus,-34.4187,19.2345,9.89,73,100,1.66,ZA,1684891329
283,el carmen,8.5106,-73.4478,20.51,98,99,0.83,CO,1684891329
284,dryden,49.7833,-92.7503,12.16,62,100,3.6,CA,1684891329
285,inirida,3.8653,-67.9239,24.37,96,100,0.77,CO,1684891330
286,karukh,34.4811,62.5863,19.34,35,0,4.18,AF,1684891330
287,konduga,11.6558,13.4213,28.26,61,27,4.46,NG,1684891330
288,iwon-up,40.3231,128.6553,20.45,46,28,3.12,KP,1684891330
